Employee Name,Department,Monthly Sales,Order Date,Delivery Date,Status,Quantity Sold,Unit Price,Revenue,,,,,,,
Allison Hill,IT,17934,23-11-2024,27-11-2024,Completed,33,30,990,,,,,,,
Noah Rhodes,HR,19247,22-11-2024,24-11-2024,Pending,64,42,2688,,,,,,,
Angie Henderson,Sales,10755,19-11-2024,20-11-2024,Completed,18,20,360,,,,,,,
Daniel Wagner,IT,14383,25-11-2024,02-12-2024,Pending,12,65,780,,,,,,,
Cristian Santos,IT,16820,26-11-2024,04-12-2024,Completed,40,40,1600,,,,,,,
Connie Lawrence,HR,9574,30-11-2024,07-12-2024,Pending,49,55,2695,,,,,,,
Abigail Shaffer,Sales,8374,29-11-2024,04-12-2024,Pending,45,73,3285,,,,,,,
Gina Moore,Sales,3678,22-11-2024,23-11-2024,Completed,33,76,2508,,,,,,,
Gabrielle Davis,IT,3059,26-11-2024,03-12-2024,Pending,15,20,300,,,,,,,
Ryan Munoz,Finance,18198,26-11-2024,03-12-2024,Completed,75,82,6150,,,,,,,
Monica Herrera,IT,11914,22-11-2024,01-12-2024,Completed,93,73,6789,,,,,,,
Jamie Arnold,IT,12817,17-11-2024,20-11-2024,Completed,84,74,6216,,,,,,,
Lisa Hensley,IT,12921,20-11-2024,29-11-2024,Completed,13,59,767,,,,,,,
Michele Williams,IT,11789,10-11-2024,11-11-2024,Pending,88,34,2992,,,,,,,
Dylan Miller,HR,18312,06-11-2024,07-11-2024,Pending,15,40,600,,,,,,,
Brian Ramirez,Sales,13252,15-11-2024,19-11-2024,Pending,60,66,3960,,,,,,,
Holly Wood,HR,4693,22-11-2024,01-12-2024,Completed,71,92,6532,,,,,,,
Derek Zuniga,HR,15931,11-11-2024,17-11-2024,Pending,66,72,4752,,,,,,,
Lisa Jackson,HR,5627,28-11-2024,01-12-2024,Completed,75,28,2100,,,,,,,
Carla Gray,IT,18157,05-11-2024,06-11-2024,Pending,88,93,8184,,,,,,,
Margaret Hawkins DDS,Finance,12173,01-11-2024,05-11-2024,Pending,84,71,5964,,,,,,,
Patty Perez,Sales,12230,08-11-2024,17-11-2024,Pending,17,76,1292,,,,,,,
Ethan Adams,Finance,17707,21-11-2024,24-11-2024,Completed,35,45,1575,,,,,,,
Tommy Walter,HR,13494,28-11-2024,07-12-2024,Pending,60,60,3600,,,,,,,
Matthew Foster,HR,3306,12-11-2024,19-11-2024,Pending,54,54,2916,,,,,,,
Judy Baker,Finance,8776,12-11-2024,16-11-2024,Completed,53,82,4346,,,,,,,
Justin Baker,Finance,11474,05-11-2024,08-11-2024,Pending,14,44,616,,,,,,,
Stephanie Ross,Finance,9526,07-11-2024,12-11-2024,Completed,79,94,7426,,,,,,,
Zachary Hicks,HR,7530,04-11-2024,09-11-2024,Pending,35,57,1995,,,,,,,
Anthony Rodriguez,HR,5748,06-11-2024,09-11-2024,Completed,77,21,1617,,,,,,,
Rebecca Henderson,Sales,15545,13-11-2024,22-11-2024,Completed,28,26,728,,,,,,,
James Ferrell,Sales,2663,20-11-2024,24-11-2024,Pending,93,53,4929,,,,,,,
Tricia Valencia,HR,3998,30-11-2024,05-12-2024,Completed,29,36,1044,,,,,,,
Nathan Maldonado,Finance,9994,15-11-2024,19-11-2024,Completed,21,62,1302,,,,,,,
Debra Davidson,Finance,19879,03-11-2024,08-11-2024,Completed,56,78,4368,,,,,,,
Jeffrey Chavez,Sales,5304,23-11-2024,30-11-2024,Completed,10,70,700,,,,,,,
Sherri Baker,HR,15808,08-11-2024,17-11-2024,Completed,99,73,7227,,,,,,,
Cassandra Gaines,Sales,8585,20-11-2024,27-11-2024,Completed,23,43,989,,,,,,,
Elizabeth Fowler,Sales,19675,16-11-2024,21-11-2024,Pending,73,44,3212,,,,,,,
Brittany Farmer,IT,13649,13-11-2024,20-11-2024,Completed,47,90,4230,,,,,,,
Paula Moreno,IT,3636,18-11-2024,23-11-2024,Completed,46,71,3266,,,,,,,
Fred Smith,IT,19082,28-11-2024,01-12-2024,Pending,20,89,1780,,,,,,,
Sherry Decker,Finance,6737,10-11-2024,17-11-2024,Pending,86,52,4472,,,,,,,
Anthony Humphrey,HR,16555,30-11-2024,02-12-2024,Pending,12,68,816,,,,,,,
Angelica Tucker,HR,15877,19-11-2024,28-11-2024,Pending,42,48,2016,,,,,,,
Philip Cannon,HR,2854,17-11-2024,18-11-2024,Pending,15,82,1230,,,,,,,
John Pierce,HR,7855,24-11-2024,30-11-2024,Pending,59,41,2419,,,,,,,
Shane Henderson,IT,9392,19-11-2024,26-11-2024,Pending,19,45,855,,,,,,,
Joshua Blair,Finance,15949,28-11-2024,06-12-2024,Completed,14,47,658,,,,,,,
Eric Carney,Finance,7791,26-11-2024,05-12-2024,Completed,32,68,2176,,,,,,,
Jessica Holmes,IT,6931,23-11-2024,25-11-2024,Pending,19,90,1710,,,,,,,
Danny Morgan,Finance,2202,26-11-2024,28-11-2024,Completed,53,68,3604,,,,,,,
Crystal Robinson,IT,13447,05-11-2024,10-11-2024,Completed,11,39,429,,,,,,,
Mark Perez,HR,14688,26-11-2024,01-12-2024,Completed,22,82,1804,,,,,,,
Shannon Jones,IT,6389,21-11-2024,27-11-2024,Pending,49,80,3920,,,,,,,
Michael Lewis,HR,4327,30-11-2024,03-12-2024,Pending,11,68,748,,,,,,,
Timothy Duncan,HR,10004,23-11-2024,01-12-2024,Completed,93,90,8370,,,,,,,
Richard Aguirre,Sales,9777,09-11-2024,10-11-2024,Pending,74,20,1480,,,,,,,
Brent Jordan,IT,2197,12-11-2024,18-11-2024,Completed,72,32,2304,,,,,,,
John Daniel,Sales,3930,21-11-2024,25-11-2024,Completed,82,70,5740,,,,,,,
Victoria Garcia,IT,13774,01-11-2024,02-11-2024,Completed,26,75,1950,,,,,,,
Gerald Hensley,IT,17087,26-11-2024,03-12-2024,Completed,18,81,1458,,,,,,,
Connor West,Sales,11339,26-11-2024,05-12-2024,Pending,84,51,4284,,,,,,,
Donald Wright,Sales,13589,01-11-2024,05-11-2024,Pending,24,49,1176,,,,,,,
Jessica Callahan,IT,17708,15-11-2024,19-11-2024,Pending,33,48,1584,,,,,,,
Amber Kidd,Finance,19043,02-11-2024,08-11-2024,Completed,47,68,3196,,,,,,,
Tracy House,HR,4811,30-11-2024,03-12-2024,Pending,44,64,2816,,,,,,,
Carol Tucker,Sales,16243,22-11-2024,28-11-2024,Completed,58,49,2842,,,,,,,
James Brown,HR,8546,16-11-2024,23-11-2024,Pending,78,35,2730,,,,,,,
William Baker,Finance,3986,25-11-2024,28-11-2024,Completed,71,59,4189,,,,,,,
Jordan Henderson,Finance,10338,08-11-2024,15-11-2024,Completed,69,38,2622,,,,,,,
Whitney Peters,Finance,13411,13-11-2024,16-11-2024,Completed,59,37,2183,,,,,,,
Brittney Phillips,Sales,4911,21-11-2024,23-11-2024,Pending,87,20,1740,,,,,,,
Lauren Daniels,Finance,3734,01-11-2024,05-11-2024,Pending,84,97,8148,,,,,,,
Amy Silva,Sales,10680,16-11-2024,24-11-2024,Pending,18,66,1188,,,,,,,
Sarah Moore,Finance,7759,29-11-2024,08-12-2024,Pending,43,85,3655,,,,,,,
Angela Lopez,HR,4385,07-11-2024,14-11-2024,Completed,85,57,4845,,,,,,,
